iter	RMSE
0	249.8789853
1	245.3121731
2	241.1643727
3	237.5537828
4	234.2594266
5	231.3173267
6	228.6892293
7	226.3752378
8	224.3216791
9	222.4060509
10	220.672831
11	219.1493514
12	217.7578347
13	216.530843
14	215.3710564
15	214.4210277
16	213.5706148
17	212.7780417
18	212.0225161
19	211.4121097
20	210.8518258
21	210.26842
22	209.7254995
23	208.9607603
24	208.5191102
25	208.1586503
26	207.661089
27	207.1473415
28	206.7489323
29	206.3002701
30	205.9984249
31	205.7169277
32	205.5093753
33	205.1224567
34	204.9003862
35	204.4927731
36	204.2286109
37	204.0487107
38	203.843488
39	203.4546742
40	203.2421896
41	203.0866625
42	202.7527813
43	202.4232278
44	202.0605685
45	201.822857
46	201.5124064
47	201.3003803
48	201.0450298
49	200.9131311
50	200.7568256
51	200.5298818
52	200.3769691
53	200.2936591
54	200.1447501
55	200.0593961
56	199.894662
57	199.787349
58	199.6915981
59	199.510666
60	199.2287509
61	199.0493159
62	198.9513307
63	198.8062499
64	198.6720322
65	198.5161833
66	198.2988184
67	198.2210323
68	198.1440614
69	198.0411948
70	197.9279332
71	197.7208557
72	197.6572878
73	197.5323909
74	197.4344828
75	197.3757921
76	197.2629596
77	197.1470249
78	196.9989488
79	196.9329739
80	196.7843007
81	196.7479039
82	196.6794694
83	196.5162421
84	196.4298629
85	196.3959685
86	196.3266216
87	196.2902281
88	196.2285581
89	196.1932823
90	196.1343251
91	196.0939637
92	195.9906789
93	195.9315107
94	195.8440239
95	195.8059805
96	195.6584789
97	195.5756449
98	195.4982147
99	195.3296046
100	195.2281962
101	195.1596646
102	195.1137936
103	195.0733927
104	194.9678898
105	194.8611882
106	194.7557121
107	194.6637769
108	194.5837107
109	194.5085966
110	194.3742072
111	194.2376288
112	194.2003891
113	194.063315
114	193.9329323
115	193.8463548
116	193.8034997
117	193.762912
118	193.6797431
119	193.5761618
120	193.4571631
121	193.3652887
122	193.2787838
123	193.1242287
124	193.0425499
125	193.0170437
126	192.9821508
127	192.9151954
128	192.8225113
129	192.7884536
130	192.7283235
131	192.6449329
132	192.5479274
133	192.5030553
134	192.4656691
135	192.4345432
136	192.3467704
137	192.3087503
138	192.2625147
139	192.200904
140	192.0547389
141	191.9532441
142	191.8502444
143	191.821006
144	191.6940261
145	191.6406938
146	191.5778825
147	191.5050482
148	191.4703824
149	191.4070905
150	191.3224298
151	191.1710412
152	191.1048734
153	191.0878951
154	190.9611135
155	190.8521621
156	190.8090191
157	190.7524519
158	190.6817595
159	190.6562618
160	190.6007854
161	190.5843173
162	190.5613171
163	190.5009987
164	190.4789278
165	190.422883
166	190.4073864
167	190.3968818
168	190.3226931
169	190.2464915
170	190.2073985
171	190.1290194
172	190.1101876
173	190.0344893
174	190.0072508
175	189.9878531
176	189.9533137
177	189.9241355
178	189.8285235
179	189.6561106
180	189.4828017
181	189.387754
182	189.2520765
183	189.118553
184	189.0971073
185	189.0098734
186	188.8284583
187	188.6994086
188	188.5877984
189	188.531207
190	188.3965413
191	188.3283176
192	188.2610455
193	188.2413232
194	188.116396
195	188.0695836
196	188.0282015
197	187.8944377
198	187.7971475
199	187.7120666
200	187.6463469
201	187.5970454
202	187.5465396
203	187.4837086
204	187.4761472
205	187.380241
206	187.3100208
207	187.2099817
208	187.1226108
209	187.0426316
210	186.9655256
211	186.8807726
212	186.8229785
213	186.7196737
214	186.6788845
215	186.5639227
216	186.5249156
217	186.436205
218	186.377603
219	186.2694222
220	186.2207396
221	186.196959
222	186.124478
223	186.1153966
224	185.9723509
225	185.9477634
226	185.9272211
227	185.9095092
228	185.8151194
229	185.7674645
230	185.7314746
231	185.6738636
232	185.6221146
233	185.4995561
234	185.4280696
235	185.3429074
236	185.2975142
237	185.2284981
238	185.1282479
239	185.0800171
240	184.9922835
241	184.9453487
242	184.889435
