,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,treatment,outcome,user_id
30000,0.8749592254764876,2.330670937445052,1.0,1.3979103286653305,1.6842224345119785,1.0,-36.4,4.857,no,999,no,0,-9.186014,30000
30001,-0.4031047707971019,7.06836936582184,1.0,-1.0717949058011993,-1.079317574577754,2.0,-41.8,4.864,no,999,no,2,-14.607914,30001
30002,1.0728625420236826,5.101955128976634,0.0,0.4302076044712545,-4.575205788045519,1.0,-36.1,4.964,no,999,no,2,-15.362503,30002
30003,2.5738980156237696,3.126618028726335,1.0,-0.0435871139091551,4.602418051229624,1.0,-41.8,4.947,no,999,yes,2,-22.02612,30003
30004,0.1311479360813349,1.2967909040462529,0.0,-0.0203572197063388,5.975856475528267,0.0,-42.0,4.021,no,999,no,0,-34.46107,30004
30005,-0.3738479438443804,0.6631154407339235,0.0,-0.0700603079824581,1.080758910487326,2.0,-31.4,0.883,no,999,no,0,-58.232418,30005
30006,0.805976952956624,1.2033039659089837,0.0,2.5105460550883127,-0.407699959444509,2.0,-49.5,0.987,no,999,no,2,-9.705572,30006
30007,0.4123956902034651,0.2947238178576445,1.0,-0.0921998414448208,-3.0026912970670265,1.0,-41.8,4.961,no,999,no,2,-13.045925,30007
30008,-0.3104950711770581,0.4567404746015824,0.0,-0.5517881108161181,-5.626002367408541,2.0,-47.1,1.445,no,999,yes,0,-9.82447,30008
30009,0.0478480827182407,4.351883687174756,1.0,0.0611224150259946,-1.7966946275441764,1.0,-41.8,4.962,no,999,no,2,4.2772336,30009
30010,-1.492874968916032,-0.3922775678742063,0.0,-0.5008497376535953,-5.696528093766073,2.0,-50.0,1.687,no,999,yes,0,-23.705957,30010
30011,1.0473095398022263,2.379924557703439,0.0,-0.0496640255149585,-7.797521674179658,0.0,-36.1,4.967,no,999,no,0,-20.29786,30011
30012,0.5066176647073241,-0.1248622745778682,0.0,1.593264280451946,-7.196380549076265,2.0,-42.7,4.957,yes,999,no,0,-42.57543,30012
30013,0.4064254475063255,4.782728183404169,0.0,0.6228611278188851,-5.337338314936048,0.0,-42.7,4.961,no,999,yes,0,-17.936947,30013
30014,1.0997158988626896,0.5900681429300638,0.0,-0.4632825940415128,-1.3524294085164177,1.0,-46.2,1.327,no,999,unknown,0,5.3657336,30014
30015,1.220847241817372,4.080694707619963,1.0,-1.3234789040211996,2.7101611620579256,1.0,-36.4,4.86,no,999,no,2,-11.387638,30015
30016,-0.7799924933902035,-1.2546010700823285,0.0,1.1007091767421795,-1.176209561819948,2.0,-36.1,4.966,no,999,no,0,-40.236534,30016
30017,-2.4865967304884,5.62534088250036,0.0,1.5281076332463297,3.8665183154498193,1.0,-46.2,1.327,no,999,no,2,-3.3880377,30017
30018,1.453373253448071,2.039731812294721,0.0,-1.9027157018861487,-0.7418591266324016,2.0,-36.1,4.964,no,999,no,0,-47.60461,30018
30019,1.2983909565982164,3.332414938147436,0.0,1.0076530015744547,-1.1260261961406617,0.0,-36.1,4.964,no,999,no,0,-31.113052,30019
30020,-0.6081687117983546,3.8078786304041854,1.0,0.0830176653584506,-1.4224125381274813,1.0,-36.4,4.856,no,999,no,2,-9.458302,30020
30021,1.4865089208163802,0.7524840649366373,0.0,-1.04909652863512,-1.5742311754894036,0.0,-36.1,4.965,no,999,no,0,-20.468208,30021
30022,1.495266138888545,4.776292218123562,0.0,-1.23672225974725,1.8005962432350548,1.0,-31.4,0.883,no,999,no,0,-37.480423,30022
30023,-0.0579437560212392,1.0914283208682107,0.0,0.4258043439390412,3.92568194257917,1.0,-46.2,1.266,no,999,no,2,-5.5167713,30023
30024,-0.7195055757921546,3.686082429811602,0.0,1.365526935561606,-0.3761325565520053,2.0,-40.8,1.244,no,999,yes,0,-23.763363,30024
30025,0.1034980989182776,3.5917202164506024,0.0,-0.3465890571843873,6.378763216156131,1.0,-36.1,4.964,no,999,unknown,0,-1.5834534,30025
30026,-0.5290140126985233,4.858424941155323,0.0,0.5405775021942791,-0.3029470153620469,1.0,-36.1,4.964,no,999,no,0,-25.769604,30026
30027,0.7697134757675073,4.254456758654027,0.0,-0.5459855130530472,11.181756670668555,1.0,-42.0,4.191,yes,999,no,0,82.3409,30027
30028,0.7912097922358813,-0.8906788885464199,0.0,0.6638844800742694,2.959905233846728,1.0,-36.1,4.964,no,999,no,0,-15.1860485,30028
30029,-0.1500715459539459,4.291013828765626,0.0,-0.8403037832844877,0.1746045070049251,0.0,-47.1,1.365,yes,999,no,0,-28.939753,30029
30030,-1.311985120853013,2.0244654919211853,1.0,0.0095787586476168,-3.104551399138346,2.0,-36.4,4.857,no,999,no,2,-22.258097,30030
30031,0.6760680830009661,6.159833496175208,0.0,-0.4734090165812373,-2.967656125460544,1.0,-30.1,0.72,yes,999,yes,2,-4.119042,30031
30032,-1.9485980656195887,6.668681032171966,0.0,-1.072648655087256,-6.079715584924526,1.0,-31.4,0.854,yes,999,no,2,16.711687,30032
30033,0.4377898010629321,7.717309067031472,0.0,0.3614634396136439,2.650484212411968,2.0,-37.5,0.879,no,999,no,2,2.4741051,30033
30034,-1.6833086306619185,3.21198049987944,0.0,0.9935805315348946,-2.460227571532962,1.0,-50.0,1.811,yes,999,no,2,1.0863736,30034
30035,0.5538767229408689,1.3882298262191837,1.0,-0.6736635768493806,4.970167552589442,1.0,-41.8,4.864,no,999,no,2,-13.301491,30035
30036,1.05672253732831,2.2310142314374373,0.0,-0.2934672324907719,1.4545386633745123,0.0,-47.1,1.384,yes,999,no,0,-21.855711,30036
30037,0.0278007261998939,-0.5459840524563631,1.0,-1.0303148800959905,-4.584820007340404,1.0,-38.3,0.903,yes,6,yes,0,14.188794,30037
30038,-0.4688486584388551,2.009769546083327,1.0,-0.4144028207428197,-4.648811675714827,1.0,-41.8,4.864,no,999,yes,2,-7.1297035,30038
30039,0.0313460731065188,2.899222818021576,0.0,-0.0984664189985175,10.23757121876194,1.0,-26.9,0.754,no,4,no,0,1.942514,30039
30040,2.28204772901353,0.4438032797700164,0.0,-0.4127992368422678,-9.533405879387262,1.0,-36.1,4.963,no,999,no,0,-30.08742,30040
30041,-0.5189301833810965,2.79428626767428,0.0,-0.0517385474449789,-1.9847593638773595,1.0,-46.2,1.344,no,999,no,0,-7.061388,30041
30042,0.845070897405603,4.071077444010988,0.0,1.3302164223380406,-3.652680633060178,2.0,-31.4,0.879,no,999,no,2,-10.646396,30042
30043,2.403373059070763,3.4687717476458046,0.0,0.7185632748818471,-1.81128984984135,1.0,-46.2,1.299,no,999,no,2,19.928616,30043
30044,-0.3522945485963347,5.6068014564363615,0.0,1.8798958547284208,-8.688214862626175,1.0,-46.2,1.299,no,999,no,0,-1.4216101,30044
30045,0.5444924662393213,3.079260241066847,0.0,0.115530671355942,0.1453453886991722,2.0,-42.7,4.96,no,999,no,0,-13.219091,30045
30046,0.2069363117541352,5.547244286875422,0.0,0.1023688348438366,-8.079921550451292,1.0,-47.1,1.405,no,999,no,2,6.379562,30046
30047,0.7373420003061654,4.360530506387626,0.0,-2.552571996698183,-2.6010161447193587,1.0,-46.2,1.344,yes,999,yes,2,-0.32101697,30047
30048,-0.7846985486109043,-0.5692201709354427,0.0,2.2646259975822804,8.77523989271321,2.0,-42.7,4.962,no,999,no,0,-18.324036,30048
30049,2.0567037165173305,6.73015704088526,1.0,2.3658944901504544,-2.495840279032455,1.0,-36.4,4.857,no,999,no,2,-7.4261217,30049
30050,-0.3325120971635833,3.326574968176832,0.0,-0.0018279180216523,13.0121655523968,1.0,-46.2,1.264,no,3,no,2,14.791001,30050
30051,-1.4799478114197184,-0.004592742022961,1.0,-0.5045365475184931,-2.7442195746492466,2.0,-36.4,4.86,no,999,yes,0,-60.239685,30051
30052,1.0773169744370703,4.088226107779905,0.0,0.0734542745693393,-1.261639675472293,1.0,-26.9,0.74,yes,999,no,0,27.30342,30052
30053,-1.7305950944887682,2.7760498630830472,1.0,0.1004027401705314,-2.139263990548494,0.0,-41.8,4.961,no,999,no,2,-46.7145,30053
30054,-1.0975503239456157,1.966919336527477,0.0,0.4980140949574628,2.8018208212979943,1.0,-42.7,4.962,no,999,no,1,-17.080227,30054
30055,0.276645432895208,0.5222505263490453,0.0,0.0829394377195519,4.233719210251563,1.0,-42.7,4.962,yes,999,no,0,-3.1366875,30055
30056,1.059939835539203,3.772319519382125,0.0,-1.6017737449100589,-0.1364141691587983,0.0,-42.0,4.076,no,999,no,0,-44.520126,30056
30057,-0.5235988774485613,4.303314710428178,0.0,0.0812033733550818,-0.9030346295190154,2.0,-29.8,0.809,no,999,no,2,-4.8452735,30057
30058,1.8396721479575129,5.711829777379574,1.0,1.967555849980236,-2.446723249428209,1.0,-41.8,4.961,no,999,no,2,2.8647242,30058
30059,1.0938519029233589,3.3068735690251536,0.0,-0.7138851915165974,0.3988467531905992,1.0,-42.0,4.191,no,999,yes,0,-18.170313,30059
30060,-0.8840446420873661,4.043612676927925,0.0,-0.2949375664495536,-1.823430868049762,2.0,-42.7,4.962,no,999,no,2,7.6227655,30060
30061,0.1545964562730246,5.354771949227874,1.0,-2.322689722460598,-3.552474960589437,2.0,-46.2,1.281,no,999,yes,2,-1.1106858,30061
30062,0.0661200599424293,0.8648216106742339,0.0,-0.3081008938733861,0.2691325928756236,1.0,-40.3,0.896,yes,6,no,0,22.165865,30062
